DATE,GDPC1,CPIAUCSL
2000-01-01,13878.147,169.3
2000-02-01,13878.147,170.0
2000-03-01,13878.147,171.0
2000-04-01,14130.908,170.9
2000-05-01,14130.908,171.2
2000-06-01,14130.908,172.2
2000-07-01,14145.312,172.7
2000-08-01,14145.312,172.7
2000-09-01,14145.312,173.6
2000-10-01,14229.765,173.9
2000-11-01,14229.765,174.2
2000-12-01,14229.765,174.6
2001-01-01,14183.12,175.6
2001-02-01,14183.12,176.0
2001-03-01,14183.12,176.1
2001-04-01,14271.694,176.4
2001-05-01,14271.694,177.3
2001-06-01,14271.694,177.7
2001-07-01,14214.516,177.4
2001-08-01,14214.516,177.4
2001-09-01,14214.516,178.1
2001-10-01,14253.574,177.6
2001-11-01,14253.574,177.5
2001-12-01,14253.574,177.4
2002-01-01,14372.785,177.7
2002-02-01,14372.785,178.0
2002-03-01,14372.785,178.5
2002-04-01,14460.848,179.3
2002-05-01,14460.848,179.5
2002-06-01,14460.848,179.6
2002-07-01,14519.633,180.0
2002-08-01,14519.633,180.5
2002-09-01,14519.633,180.8
2002-10-01,14537.58,181.2
2002-11-01,14537.58,181.5
2002-12-01,14537.58,181.8
2003-01-01,14614.141,182.6
2003-02-01,14614.141,183.6
2003-03-01,14614.141,183.9
2003-04-01,14743.567,183.2
2003-05-01,14743.567,182.9
2003-06-01,14743.567,183.1
2003-07-01,14988.782,183.7
2003-08-01,14988.782,184.5
2003-09-01,14988.782,185.1
2003-10-01,15162.76,184.9
2003-11-01,15162.76,185.0
2003-12-01,15162.76,185.5
2004-01-01,15248.68,186.3
2004-02-01,15248.68,186.7
2004-03-01,15248.68,187.1
2004-04-01,15366.85,187.4
2004-05-01,15366.85,188.2
2004-06-01,15366.85,188.9
2004-07-01,15512.619,189.1
2004-08-01,15512.619,189.2
2004-09-01,15512.619,189.8
2004-10-01,15670.88,190.8
2004-11-01,15670.88,191.7
2004-12-01,15670.88,191.7
2005-01-01,15844.727,191.6
2005-02-01,15844.727,192.4
2005-03-01,15844.727,193.1
2005-04-01,15922.782,193.7
2005-05-01,15922.782,193.6
2005-06-01,15922.782,193.7
2005-07-01,16047.587,194.9
2005-08-01,16047.587,196.1
2005-09-01,16047.587,198.8
2005-10-01,16136.734,199.1
2005-11-01,16136.734,198.1
2005-12-01,16136.734,198.1
2006-01-01,16353.835,199.3
2006-02-01,16353.835,199.4
2006-03-01,16353.835,199.7
2006-04-01,16396.151,200.7
2006-05-01,16396.151,201.3
2006-06-01,16396.151,201.8
2006-07-01,16420.738,202.9
2006-08-01,16420.738,203.8
2006-09-01,16420.738,202.8
2006-10-01,16561.866,201.9
2006-11-01,16561.866,202.0
2006-12-01,16561.866,203.1
2007-01-01,16611.69,203.437
2007-02-01,16611.69,204.226
2007-03-01,16611.69,205.288
2007-04-01,16713.314,205.904
2007-05-01,16713.314,206.755
2007-06-01,16713.314,207.234
2007-07-01,16809.587,207.603
2007-08-01,16809.587,207.667
2007-09-01,16809.587,208.547
2007-10-01,16915.191,209.19
2007-11-01,16915.191,210.834
2007-12-01,16915.191,211.445
2008-01-01,16843.003,212.174
2008-02-01,16843.003,212.687
2008-03-01,16843.003,213.448
2008-04-01,16943.291,213.942
2008-05-01,16943.291,215.208
2008-06-01,16943.291,217.463
2008-07-01,16854.295,219.016
2008-08-01,16854.295,218.69
2008-09-01,16854.295,218.877
2008-10-01,16485.35,216.995
2008-11-01,16485.35,213.153
2008-12-01,16485.35,211.398
2009-01-01,16298.262,211.933
2009-02-01,16298.262,212.705
2009-03-01,16298.262,212.495
2009-04-01,16269.145,212.709
2009-05-01,16269.145,213.022
2009-06-01,16269.145,214.79
2009-07-01,16326.281,214.726
2009-08-01,16326.281,215.445
2009-09-01,16326.281,215.861
2009-10-01,16502.754,216.509
2009-11-01,16502.754,217.234
2009-12-01,16502.754,217.347
2010-01-01,16582.71,217.488
2010-02-01,16582.71,217.281
2010-03-01,16582.71,217.353
2010-04-01,16743.162,217.403
2010-05-01,16743.162,217.29
2010-06-01,16743.162,217.199
2010-07-01,16872.266,217.605
2010-08-01,16872.266,217.923
2010-09-01,16872.266,218.275
2010-10-01,16960.864,219.035
2010-11-01,16960.864,219.59
2010-12-01,16960.864,220.472
