Date,CL=F,DX=F,ES=F,GC=F,ZN=F,ZW=F
2000-09-01,30.860000610351562,113.0,1454.0,273.6000061035156,100.21880340576172,258.0
2000-11-01,33.79999923706055,115.0999984741211,1321.0,270.1000061035156,102.7031021118164,252.5
2000-12-01,26.799999237060547,109.27999877929688,1327.0,272.0,104.8906021118164,272.75
2001-01-01,28.700000762939453,110.52999877929688,1373.5,265.6000061035156,105.4843978881836,271.0
2001-02-01,27.420000076293945,112.0,1242.0,266.79998779296875,106.34380340576172,257.5
2001-03-01,26.399999618530273,117.62999725341797,1174.0,257.8999938964844,106.28130340576172,265.0
2001-05-01,28.3700008392334,119.19000244140625,1254.5,265.29998779296875,103.8125,264.75
2001-06-01,26.25,119.75,1237.75,270.6000061035156,102.9843978881836,244.75
2001-08-01,27.200000762939453,113.54000091552734,1138.5,274.3999938964844,107.2656021118164,274.25
2001-09-01,23.43000030517578,113.95999908447266,1043.75,292.3999938964844,108.71880340576172,275.0
2001-10-01,21.18000030517578,115.1500015258789,1056.25,279.5,111.75,295.25
2001-11-01,19.440000534057617,115.55000305175781,1135.25,273.8999938964844,108.15630340576172,278.0
2001-12-01,19.84000015258789,117.20999908447266,1149.25,278.70001220703125,105.1875,291.0
2002-01-01,19.479999542236328,120.58999633789062,1130.5,282.1000061035156,105.875,286.5
2002-02-01,21.850000381469727,119.27999877929688,1107.0,296.70001220703125,107.25,271.5
2002-03-01,26.229999542236328,119.05999755859375,1144.75,302.6000061035156,102.5,294.5
2002-04-01,27.290000915527344,115.4000015258789,1076.0,308.8999938964844,105.5625,261.75
2002-05-01,25.350000381469727,111.91000366210938,1064.0,326.5,106.7343978881836,282.25
2002-06-01,26.860000610351562,106.55000305175781,988.0,313.5,107.2343978881836,307.0
2002-07-01,27.020000457763672,107.69999694824219,908.0,303.20001220703125,110.6093978881836,334.0
2002-08-01,28.979999542236328,107.08999633789062,912.25,312.3999938964844,113.1718978881836,362.25
2002-10-01,27.219999313354492,106.81999969482422,885.5,318.0,114.71880340576172,402.25
2002-11-01,26.889999389648438,106.5,936.0,316.79998779296875,112.5156021118164,373.0
2003-01-01,33.5099983215332,100.13999938964844,854.75,368.29998779296875,114.1406021118164,320.5
2003-02-01,36.599998474121094,99.80999755859375,841.0,350.20001220703125,116.71880340576172,312.5
2003-03-01,31.040000915527344,99.48999786376953,847.0,335.8999938964844,114.875,286.75
2003-04-01,25.799999237060547,97.37999725341797,916.0,339.1000061035156,115.125,279.5
2003-05-01,29.559999465942383,93.30999755859375,963.25,364.5,119.0625,324.25
2003-07-01,30.540000915527344,97.13999938964844,989.25,354.0,110.625,348.5
2003-08-01,31.56999969482422,98.0999984741211,1007.75,375.70001220703125,111.53130340576172,367.5
2003-09-01,29.200000762939453,93.19999694824219,994.0,385.3999938964844,114.625,360.25
2003-10-01,29.110000610351562,92.87999725341797,1049.5,384.5,112.2968978881836,369.5
2003-11-01,30.40999984741211,90.27999877929688,1057.75,396.79998779296875,112.40630340576172,406.75
2003-12-01,32.52000045776367,87.26000213623047,1110.5,415.70001220703125,112.2656021118164,377.0
2004-01-01,33.04999923706055,87.41999816894531,1130.0,402.20001220703125,113.4375,389.0
2004-03-01,35.7599983215332,87.94999694824219,1125.0,427.29998779296875,115.40630340576172,408.0
2004-04-01,37.380001068115234,90.68000030517578,1106.0,387.0,110.5,381.5
2004-05-01,39.880001068115234,88.9800033569336,1121.5,394.0,109.875,362.0
2004-06-01,37.04999923706055,89.0,1140.5,392.6000061035156,109.3281021118164,338.0
